Date,Open,High,Low,Close,Volume
2020-01-02,71.47660718407792,72.5285891982157,71.22326675908423,72.46826934814453,135480400
2020-01-03,71.69616734789946,72.52375386627762,71.53933722124737,71.76372528076172,146322800
2020-01-06,70.88547942287144,72.37416924858576,70.63454677653742,72.33556365966797,118387200
2020-01-07,72.34518902923438,72.60094451443848,71.77577337938688,71.9953384399414,108872000
2020-01-08,71.69858889981313,73.4551026743299,71.69858889981313,73.15350341796875,132079200
2020-01-09,74.13067516689924,74.90035698659045,73.87974991049977,74.70733642578125,170108400
2020-01-10,74.94138611501243,75.4408362602049,74.37437802964394,74.87623596191406,140644800
2020-01-13,75.19229072850685,76.5024356673447,75.07405885483226,76.47589111328125,121532000
2020-01-14,76.41318515734736,76.62309704687446,75.3201898237738,75.4432373046875,161954400
2020-01-15,75.24298130114484,76.12364962606802,74.68803427101611,75.11992645263672,121923600
2020-01-16,75.66279597280943,76.17189926714461,75.3008769215495,76.06090545654297,108829200
2020-01-17,76.30943957331336,76.90540003571786,76.00301736044453,76.90299224853516,137816400
2020-01-21,76.53139743845387,76.97293540809704,76.24427442355741,76.38180541992188,110843200
2020-01-22,76.86676909750412,77.20697385138125,76.56034698568028,76.65444946289062,101832400
2020-01-23,76.70754520066748,77.1032395625604,76.15983628507468,77.02362060546875,104472000
2020-01-24,77.26971830945405,78.01285552986269,76.61102297800898,76.8016357421875,146537600
2020-01-27,74.81108286986905,75.22366854186772,73.56125746709372,74.54326629638672,161940000
2020-01-28,75.42392754574348,76.82334485387435,75.32500212699546,76.65203857421875,162234000
2020-01-29,78.28309821074268,79.103446634538,77.54236874294361,78.25655364990234,216229200
2020-01-30,77.33968569636842,78.196224452265,76.90779359376785,78.14314270019531,126743200
2020-01-31,77.43377343365503,77.85601226019499,74.38400653828495,74.6783676147461,199588400
2020-02-03,73.42129258895172,75.63865008225116,72.91943485372464,74.47327423095703,173788400
2020-02-04,76.0777843995069,77.12252801422878,75.67243689523981,76.93191528320312,136616400
2020-02-05,78.05869253554688,78.35788393608293,76.95605150390088,77.55924987792969,118826800
2020-02-06,77.82947991175031,78.46886870193435,77.27212521509354,78.4664535522461,105425600
2020-02-07,77.96584287500079,78.21495018710938,76.90895061507658,77.39990997314453,117684000
2020-02-10,75.9850613598187,77.76750946044922,75.90525344548281,77.76750946044922,109348800
2020-02-11,78.26331148915241,78.33586413946524,77.08065162389036,77.2983169555664,94323200
2020-02-12,77.7481726332658,79.13882181030785,77.7481726332658,79.13398742675781,113730400
2020-02-13,78.40599225770488,78.89695147104912,78.20283748467311,78.57044982910156,94747600
2020-02-14,78.53902662089303,78.8389281598991,78.08193011775062,78.5898208618164,80113600
2020-02-18,76.27045008047632,77.33218399932765,76.08906106405882,77.15079498291016,152531200
2020-02-19,77.39263964512776,78.49790505143669,77.39263964512776,78.26814270019531,93984000
2020-02-20,78.02871401030635,78.51725240619737,76.95972489443142,77.46519470214844,100566000
2020-02-21,77.05890210716204,77.50149550977896,75.09506456264181,75.71178436279297,129554000
2020-02-24,71.8929330165793,73.56654484289926,69.950861613102,72.11543273925781,222195200
2020-02-25,72.7853553748288,73.1674782506727,69.20110730705076,69.67271423339844,230673600
2020-02-26,69.29784412586203,72.0428654399997,69.29058886204834,70.7779769897461,198054800
2020-02-27,67.9846176209649,69.16969127505396,66.01593824961232,66.15137481689453,320605600
2020-02-28,62.21885173263986,67.3340203730767,62.00359989656375,66.11266326904297,426510000
2020-03-02,68.26999310714803,72.90387904877242,67.16714840245746,72.26780700683594,341397200
2020-03-03,73.4432035732901,73.52301148955354,69.12130192834442,69.97262573242188,319475600
2020-03-04,71.69461969933852,73.37790783984885,70.89409003325196,73.2182846069336,219178400
2020-03-05,71.47209384482164,72.44675702043206,70.47808575850526,70.8432846069336,187572800
2020-03-06,68.2022618674925,70.33539821217181,68.01603849038064,69.90248107910156,226176800
2020-03-09,63.788478823723246,67.25663636962582,63.60708978441408,64.37376403808594,286744800
2020-03-10,67.02687337652254,69.27609424415243,65.14767842910632,69.01005554199219,285290000
2020-03-11,67.08733175658426,68.01362169576068,65.74988307252373,66.61329650878906,255598800
2020-03-12,61.89960811199781,65.30004700639003,59.979302435498994,60.03492736816406,418474000
2020-03-13,64.06417921518192,67.69921444547847,61.17646208174082,67.22760009765625,370732000
2020-03-16,58.51609560503949,62.65901820555978,58.044484903274174,58.5789794921875,322423600
2020-03-17,59.86079146440188,62.303494624543745,57.65751943951495,61.154701232910156,324056000
2020-03-18,57.98884992987561,60.46299463712357,57.3479399725011,59.65762710571289,300233600
2020-03-19,59.83177642616681,61.149869314864894,58.67572396250281,59.20054244995117,271857200
2020-03-20,59.780979833542105,60.905593927619734,55.142259915533515,55.44215774536133,401693200
2020-03-23,55.16160823517076,55.263185639015276,51.420157253571155,54.26433563232422,336752800
2020-03-24,57.16414681678831,59.90433080067905,56.6659322179662,59.708431243896484,287531200
2020-03-25,60.644394003218935,62.45828415286656,59.08444921259577,59.37950897216797,303602000
2020-03-26,59.621358785658394,62.56227643476942,59.58266157820947,62.504234313964844,252087200
2020-03-27,61.12809336695391,61.882670430565696,59.74953769675213,59.91641616821289,204216800
2020-03-30,60.64196895182637,61.79802116213787,60.317884482413085,61.626304626464844,167976400
2020-03-31,61.8173747321562,63.483731229594824,60.94670602705082,61.500545501708984,197002000
